# select map_units.id_tag, roman, face_name from map_units inner join units on map_units.id_tag = units.id_tag where (map_id like 'X%' or roman = 'ALFONS' or roman = 'ANNA' or roman = 'SHARON') and units.id_tag like 'PID_%' group by (map_units.id_tag, roman, face_name) order by roman;

         id_tag         |         roman         |           face_name
------------------------+-----------------------+--------------------------------
 PID_アルフォンス       | ALFONS                | ch00_01_Alfons_M_Normal
 PID_比翼アルフォンス   | ALFONS_PAIR01         | ch00_01_Alfons_MF_Pair
 PID_春祭アルフォンス   | ALFONS_SPRING02       | ch00_01_Alfons_M_SpringFes18
 PID_アメリア           | AMELIA                | ch08_04_Amelia_F_Normal
 PID_アンナ             | ANNA                  | ch00_03_Anna_F_Normal
 PID_年明アンナ         | ANNA_NEWYEAR03        | ch00_03_Anna_F_NewYear20
 PID_舞踏祭黒アクア     | AQUA_DANCE            | ch05_07_Aqua_F_dance17
 PID_年明けアクア       | AQUA_NEWYEAR01        | ch05_07_Aqua_F_NewYear18
 PID_アーダン           | ARDEN                 | ch06_05_Arden_M_Normal
 PID_アルム             | ARUM                  | ch10_00_Arum_M_Normal
 PID_比翼アルム         | ARUM_PAIR01           | ch10_00_Arum_MF_Pair
 PID_総選挙アルム       | ARUM_POPULARITY05     | ch10_00_Arum_M_ELECTION01
 PID_アテナ             | ATHENA                | ch01_26_Athena_F_Normal
 PID_舞踏祭アズール     | AZUR_DANCE            | ch04_19_Azur_M_dance17
 PID_春祭バアトル       | BARTR_SPRING04        | ch02_02_Bartr_M_SpringFes20
 PID_比翼ベレス         | BELETH_PAIR01         | ch17_01_Beleth_FF_Pair
 PID_舞踏ベルクト       | BERKUT_DANCE02        | ch10_14_Berkut_M_Dance19
 PID_海賊ブリギッド     | BRIGID_PIRATE01       | ch06_25_Brigid_F_Pirate20
 PID_春祭ブルーノ       | BRUNO_SPRING03        | ch00_05_Bruno_M_SpringFes19
 PID_カミラ             | CAMILLA               | ch05_28_Camilla_F_Normal
 PID_夢カミラ           | CAMILLA_DREAM01       | ch05_28_Camilla_F_Dreaming18
 PID_年明けカミラ       | CAMILLA_NEWYEAR01     | ch05_28_Camilla_F_NewYear18
 PID_温泉カミラ         | CAMILLA_ONSEN01       | ch05_28_Camilla_F_Spa19
 PID_総選挙カミラ       | CAMILLA_POPULARITY05  | ch05_28_Camilla_F_ELECTION01
 PID_春祭カミラ         | CAMILLA_SPRING01      | ch05_28_Camilla_F_SpringFes17
 PID_水着カミラ         | CAMILLA_SUMMER04      | ch05_28_Camilla_F_Swim18
 PID_冬祭セシリア       | CECILIA_WINTER02      | ch02_09_Secilia_F_WinterFes18
 PID_セリス             | CELICE                | ch06_00_Celice_M_Normal
 PID_水着セライナ       | CELINA_SUMMER07       | ch08_19_Celina_F_Swim20
 PID_総選挙セリカ       | CELLICA_POPULARITY03  | ch10_08_Cellica_F_ELECTION01
 PID_年明スリーズ       | CERISE_NEWYEAR02      | ch00_10_Cerise_F_NewYear19
 PID_水着スリーズ       | CERISE_SUMMER06       | ch00_10_Cerise_F_Swim19
 PID_花嫁シャーロッテ   | CHARLOTTE_BRIDE01     | ch05_37_Charlotte_F_Wedding17
 PID_クロム             | CHROM                 | ch04_00_Chrom_M_Normal
 PID_春祭クロム         | CHROM_SPRING01        | ch04_00_Chrom_M_SpringFes17
 PID_冬祭クロム         | CHROM_WINTER01        | ch04_00_Chrom_M_WinterFes17
 PID_愛の祭コンラート   | CONRAD_VALENTINE03    | ch10_24_Conrad_M_Valentine20
 PID_クレア             | CREA                  | ch10_03_Crea_F_Normal
 PID_舞踏キュアン       | CUAN_DANCE03          | ch06_14_Cuan_M_Dance20
 PID_海賊ダロス         | DAROS_PIRATE01        | ch01_42_Daros_M_Pirate20
 PID_ディアドラ         | DIADORA               | ch06_07_Diadora_F_Normal
 PID_ドルカス           | DORCAS                | ch03_17_Dorcas_M_Normal
 PID_ハロドルカス       | DORCAS_HALLOWEEN02    | ch03_17_Dorcas_M_Halloween18
 PID_水着ドロテア       | DOROTHEA_SUMMER08     | ch17_11_Dorothea_F_Swim20
 PID_ハロドズラ         | DOZZLA_HALLOWEEN03    | ch08_13_Dozzla_M_Halloween19
 PID_エフィ             | EFI                   | ch10_06_Efi_F_Normal
 PID_愛の祭エフィ       | EFI_VALENTINE03       | ch10_06_Efi_F_Valentine20
 PID_エイリーク         | EIRIK                 | ch08_01_Eirik_F_Normal
 PID_冬祭エイリーク     | EIRIK_WINTER02        | ch08_01_Eirik_F_WinterFes18
 PID_年明エイル         | EIR_NEWYEAR03         | ch00_20_Eir_F_NewYear20
 PID_エレオノーラ       | ELEONORA              | ch12_02_Eleonora_F_Normal
 PID_エリーゼ           | ELISE                 | ch05_25_Elise_F_Normal
 PID_温泉エリーゼ       | ELISE_ONSEN01         | ch05_25_Elise_F_Spa19
 PID_水着エリーゼ       | ELISE_SUMMER02        | ch05_25_Elise_F_Swim17
 PID_総選挙エリウッド   | ELIWOD_POPULARITY05   | ch03_06_Eliwod_M_ELECTION01
 PID_愛の祭エリウッド   | ELIWOD_VALENTINE01    | ch03_06_Eliwod_M_Valentine18
 PID_エルトシャン       | ELTSHAN               | ch06_01_Eltshan_M_Normal
 PID_舞踏エルトシャン   | ELTSHAN_DANCE03       | ch06_01_Eltshan_M_Dance20
 PID_エフラム           | EPHRAIM               | ch08_00_Ephraim_M_Normal
 PID_総選挙エフラム     | EPHRAM_POPULARITY03   | ch08_00_Ephraim_M_ELECTION01
 PID_冬祭エフラム       | EPHRAM_WINTER02       | ch08_00_Ephraim_M_WinterFes18
 PID_ハロイレース       | ERASE_HALLOWEEN03     | ch09_14_Erase_F_Halloween19
 PID_夏祭エリンシア     | ERINCIA_BON01         | ch09_06_Erincia_F_dance18
 PID_春祭エスト         | EST_SPRING04          | ch01_20_Est_F_SpringFes20
 PID_舞踏エスリン       | ETHLIN_DANCE03        | ch06_15_Ethlin_F_Dance20
 PID_ウード             | EUDES                 | ch04_20_Eudes_M_Normal
 PID_冬祭ファ           | FA_WINTER02           | ch02_06_Fa_F_WinterFes18
 PID_行楽フェリシア     | FERICIA_PICNIC01      | ch05_15_Felicia_F_Picnic19
 PID_水着フィオーラ     | FIORA_SUMMER06        | ch03_24_Fiora_F_Swim19
 PID_春祭フィル         | FIR_SPRING04          | ch02_01_Fir_F_SpringFes20
 PID_花嫁フィヨルム     | FJORM_BRIDE03         | ch00_06_Fjorm_F_Wedding19
 PID_年明フィヨルム     | FJORM_NEWYEAR02       | ch00_06_Fjorm_F_NewYear19
 PID_行楽フローラ       | FLORA_PICNIC01        | ch05_41_Flora_F_Picnic19
 PID_水着フレデリク     | FREDERIK_SUMMER01     | ch04_16_Frederik_M_Swim17
 PID_年明フリーズ       | FREEZE_NEWYEAR02      | ch00_16_Freeze_M_NewYear19
 PID_海賊ギース         | GEESE_PIRATE01        | ch02_26_Geese_M_Pirate20
 PID_愛の祭グレイル     | GREIL_VALENTINE02     | ch09_10_Greil_M_Valentine19
 PID_水着ガイア         | GUIRE_SUMMER01        | ch04_06_Guire_M_Swim17
 PID_ヒーニアス         | HEANIUS               | ch08_03_Heanius_M_Normal
 PID_水着ヒーニアス     | HEANIUS_SUMMER03      | ch08_03_Heanius_M_Swim18
